Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
6168-hqt-909b-hair-straightener-used-while-massaging-hair-scalps-and-head-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/09_92b6e0ad-18b4-4a75-9186-3769bd178ec4.jpg?v=1651493418,7,6168 Hqt-909B Hair Straightener Used While Massaging Hair Scalps And Head. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
6168-hqt-909b-hair-straightener-used-while-massaging-hair-scalps-and-head-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/08_00ad4427-1c08-4ac3-9032-5efd9e2651ce.jpg?v=1651493419,8,6168 Hqt-909B Hair Straightener Used While Massaging Hair Scalps And Head. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
6168-hqt-909b-hair-straightener-used-while-massaging-hair-scalps-and-head-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/010_1a62e811-f4b8-4214-9a19-21800488aa6e.jpg?v=1651493421,9,6168 Hqt-909B Hair Straightener Used While Massaging Hair Scalps And Head. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
6168-hqt-909b-hair-straightener-used-while-massaging-hair-scalps-and-head-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/012_c4384d2c-4876-4d3f-8ec3-42a19b89c323.jpg?v=1651493422,10,6168 Hqt-909B Hair Straightener Used While Massaging Hair Scalps And Head. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
6422-stainless-steel-bottle-used-in-all-households-and-official-purposes-for-storing-water-and-beverages-etc-1,6422 Stainless Steel Bottle used in all households and official purposes for storing water and beverages etc.,"<p>6422 Stainless Steel Bottle used in all households and official purposes for storing water and beverages etc.<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Description: -</strong><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Bottle With Inside Outside Stainless Steel, Which Is Rust Free.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">• Convenient Size Fits In The Side Pocket Of Bags Which You Can Carry For School, Trekking Or Office, Car Bottle Holder Etc.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">• This Bottle Is Easy To Clean And Maintain, Use A Mild Detergent Or Dish Wash Liquid And Clean On The Inside With A Bottle Brush.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">• This Bottle Is Unique In Shape, It Has Leak Proof Technology, Which Make This Product Easy To Carry At School, Travelling And Work, It Is Odour Free And 100 Percent Food Grade.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">• The Taste And Nutritive Value Of The Drinks Remains Intact. Making The Bottle Very Appropriate Choice For Storing Beverages.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong>Dimensions: -</strong></p>
<p>Volu. Weight (Gm) :- 528<br> <br>Product Weight (Gm) :- 590<br> <br>Ship Weight (Gm) :- 590<br> <br>Length (Cm) :- 12<br> <br>Breadth (Cm) :- 9<br> <br>Height (Cm) :- 24<br></p>",ediscountshops.com,Home & Garden > Decor > Decorative Bottles,,Kitchen Storage/Water Bottle,TRUE,Title,Default Title,,,,,6422_ss_fancy_btl_360ml_approx,590,shopify,68,deny,manual,416,999,TRUE,TRUE,6422_ss_fancy_btl_360ml_approx,https://cdn.shopify.com/s/files/1/1916/9825/products/1_b02c8f7a-8e68-4034-9e25-b090d98c3b26.jpg?v=1651490416,1,6422 Stainless Steel Bottle used in all households and official purposes for storing water and beverages etc. ediscountshops.com,FALSE,,,,,,,,,,,,,,,,,g,,208,active
6422-stainless-steel-bottle-used-in-all-households-and-official-purposes-for-storing-water-and-beverages-etc-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/2_69b7b711-9488-4265-ab74-69f326045d34.jpg?v=1651490417,2,6422 Stainless Steel Bottle used in all households and official purposes for storing water and beverages etc. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
6422-stainless-steel-bottle-used-in-all-households-and-official-purposes-for-storing-water-and-beverages-etc-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/3_e688f47b-7c24-43be-b6ba-051a5219531d.jpg?v=1651490418,3,6422 Stainless Steel Bottle used in all households and official purposes for storing water and beverages etc. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
6422-stainless-steel-bottle-used-in-all-households-and-official-purposes-for-storing-water-and-beverages-etc-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/4_3f37e900-cbe2-4ff4-a34a-9a0ffc1f8f0f.jpg?v=1651490419,4,6422 Stainless Steel Bottle used in all households and official purposes for storing water and beverages etc. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
6422-stainless-steel-bottle-used-in-all-households-and-official-purposes-for-storing-water-and-beverages-etc-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/5_dfb7c740-b695-4342-ab3a-c9e5ea93fef6.jpg?v=1651490420,5,6422 Stainless Steel Bottle used in all households and official purposes for storing water and beverages etc. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
6422-stainless-steel-bottle-used-in-all-households-and-official-purposes-for-storing-water-and-beverages-etc-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/6_6e3c2d63-47b5-40d3-9b4c-a8df22d2850e.jpg?v=1651490421,6,6422 Stainless Steel Bottle used in all households and official purposes for storing water and beverages etc. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
6422-stainless-steel-bottle-used-in-all-households-and-official-purposes-for-storing-water-and-beverages-etc-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/7_4c489d2c-d714-480b-8496-34c7d34828e8.jpg?v=1651490422,7,6422 Stainless Steel Bottle used in all households and official purposes for storing water and beverages etc. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
6422-stainless-steel-bottle-used-in-all-households-and-official-purposes-for-storing-water-and-beverages-etc-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/8_809491e4-c55a-4c49-a222-beb1b3d42a87.jpg?v=1651490424,8,6422 Stainless Steel Bottle used in all households and official purposes for storing water and beverages etc. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
2793-manual-hand-juicer-for-making-juices-and-beverages-by-using-hands,2793 Manual Hand Juicer For Making Juices And Beverages By Using Hands.,"2793 Manual Hand Juicer For Making Juices And Beverages By Using Hands.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Description: -<br data-mce-fragment=""1"">Multicolour, Colours Will Be Dispatched As Per Availability Of The Stock,100% Food Grade Plastic Materials.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">• Make Quick Work Of Juicing Your Favourite Citrus Fruits With This Citrus Squeezer Attractive Fruit Juicer Special For Orange, Lemon.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">• Multipurpose Juicing Squeezes Lemons, Limes, Orange, Pomegranate, Lime Fresh, Water Melon And Grapefruit.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Specifications: -<br data-mce-fragment=""1"">Material- Plastic<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Dimensions: -<br data-mce-fragment=""1"">Volu. Weight (Gm) :- 548<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Product Weight (Gm) :- 80<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Ship Weight (Gm) :- 548<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Length (Cm) :- 16<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Breadth (Cm) :- 14<br data-mce-fragment=""1""> <br data-mce-fragment=""1"">Height (Cm) :- 12",ediscountshops.com,,Kitchen,Kitchen  Tools,TRUE,Title,Default Title,,,,,2793_manual_hand_juicer,548,shopify,432,deny,manual,46,299,TRUE,TRUE,2793_manual_hand_juicer,https://cdn.shopify.com/s/files/1/1916/9825/products/1_e6b04b09-29af-42df-b581-8f3865ca1f08.jpg?v=1651487842,1,2793 Manual Hand Juicer For Making Juices And Beverages By Using Hands. ediscountshops.com,FALSE,,,,,,,,,,,,,,,,,g,,23,active
2793-manual-hand-juicer-for-making-juices-and-beverages-by-using-hands,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/2_eaa644c2-92e3-4116-be77-d0c1b8871a88.jpg?v=1651487844,2,2793 Manual Hand Juicer For Making Juices And Beverages By Using Hands. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
2793-manual-hand-juicer-for-making-juices-and-beverages-by-using-hands,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/3_d5bb127d-c746-4eca-9fec-fb1f6e6f0edb.jpg?v=1651487846,3,2793 Manual Hand Juicer For Making Juices And Beverages By Using Hands. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
2793-manual-hand-juicer-for-making-juices-and-beverages-by-using-hands,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/4_61f9bc93-aff1-4cb4-b351-669ce033ff84.jpg?v=1651487847,4,2793 Manual Hand Juicer For Making Juices And Beverages By Using Hands. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
2793-manual-hand-juicer-for-making-juices-and-beverages-by-using-hands,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/5_b787857a-f3fa-4994-9899-02067a2bbc8c.jpg?v=1651487848,5,2793 Manual Hand Juicer For Making Juices And Beverages By Using Hands. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
2793-manual-hand-juicer-for-making-juices-and-beverages-by-using-hands,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/6_702089da-9951-4271-86d2-1d9e150205b8.jpg?v=1651487849,6,2793 Manual Hand Juicer For Making Juices And Beverages By Using Hands. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
2793-manual-hand-juicer-for-making-juices-and-beverages-by-using-hands,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/7_726396df-f460-4f34-af64-dae706e1dc47.jpg?v=1651487851,7,2793 Manual Hand Juicer For Making Juices And Beverages By Using Hands. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
2793-manual-hand-juicer-for-making-juices-and-beverages-by-using-hands,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1916/9825/products/8_f63ecb85-e97d-4af6-9da3-3ebb3c24df44.jpg?v=1651487852,8,2793 Manual Hand Juicer For Making Juices And Beverages By Using Hands. ediscountshops.com,,,,,,,,,,,,,,,,,,,,,
